City,Country,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Mataura,NZ,-46.19,168.86,49.31,49.31,91,32,4.34,Fri Nov  9 12:06:50 2018
Rikitea,PF,-23.12,-134.97,71.23,71.23,100,0,14.85,Fri Nov  9 12:06:50 2018
Duku,NG,11.24,4.91,74.33,74.33,30,0,7.31,Fri Nov  9 12:06:51 2018
Flin Flon,CA,54.77,-101.88,12.2,12.2,72,75,16.11,Fri Nov  9 11:00:00 2018
Busselton,AU,-33.64,115.35,61.42,61.42,100,0,20.18,Fri Nov  9 12:06:52 2018
Barrow,AR,-38.31,-60.23,85.58,85.58,45,12,5.35,Fri Nov  9 12:06:52 2018
Bedele,ET,8.46,36.35,57.73,57.73,97,88,2.51,Fri Nov  9 12:06:53 2018
Jamestown,AU,-33.21,138.6,47.47,47.47,67,0,2.77,Fri Nov  9 12:06:54 2018
Bluff,AU,-23.58,149.07,68.57,68.57,67,0,12.95,Fri Nov  9 12:06:54 2018
Hit,IQ,33.64,42.83,53.81,53.81,86,44,2.84,Fri Nov  9 12:06:55 2018
Shaunavon,CA,49.65,-108.41,22.67,22.67,64,56,17.31,Fri Nov  9 12:06:55 2018
Marquette,US,46.54,-87.4,30.2,32.0,86,90,10.29,Fri Nov  9 11:45:00 2018
Vaini,IN,15.34,74.49,68.84,68.84,69,0,2.55,Fri Nov  9 12:06:57 2018
Dehloran,IR,32.69,47.27,55.88,55.88,94,44,1.28,Fri Nov  9 12:06:57 2018
Saint George,GR,39.45,22.34,51.8,51.8,93,20,4.7,Fri Nov  9 10:50:00 2018
Phalodi,IN,27.13,72.36,56.06,56.06,50,0,2.84,Fri Nov  9 12:06:58 2018
Dingle,PH,11.0,122.67,78.38,78.38,86,56,12.39,Fri Nov  9 12:06:59 2018
Bereda,ES,43.27,-7.54,60.8,60.8,87,75,19.46,Fri Nov  9 11:43:00 2018
New Norfolk,AU,-42.78,147.06,51.8,51.8,71,75,10.29,Fri Nov  9 11:30:00 2018
